index	name	color	chinese_name	side
0	"Unknown"	#000000	未知	
1	"Left-Cerebral-Exterior"	#4682b4	大脑外部	L
2	"Left-Cerebral-White-Matter"	#f5f5f5	大脑白质	L
3	"Left-Cerebral-Cortex"	#cd3e4e	大脑皮层	L
4	"Left-Lateral-Ventricle"	#781286	侧脑室	L
5	"Left-Inf-Lat-Vent"	#c43afa	下外侧脑室	L
6	"Left-Cerebellum-Exterior"	#009400	小脑外部	L
7	"Left-Cerebellum-White-Matter"	#dcf8a4	小脑白质	L
8	"Left-Cerebellum-Cortex"	#e69422	小脑皮层	L
9	"Left-Thalamus-unused"	#00760e	丘脑	L
10	"Left-Thalamus"	#00760e	丘脑	L
11	"Left-Caudate"	#7abadc	尾状核	L
12	"Left-Putamen"	#ec0db0	壳核	L
13	"Left-Pallidum"	#0c30ff	苍白球	L
14	"3rd-Ventricle"	#ccb68e	3rd Ventricle	
15	"4th-Ventricle"	#2acca4	4th Ventricle	
16	"Brain-Stem"	#779fb0	脑干	
17	"Left-Hippocampus"	#dcd814	海马	L
18	"Left-Amygdala"	#67ffff	杏仁核	L
19	"Left-Insula"	#50c462	岛叶	L
20	"Left-Operculum"	#3c3ad2	岛盖	L
21	"Line-1"	#3c3ad2	Line 1	
22	"Line-2"	#3c3ad2	Line 2	
23	"Line-3"	#3c3ad2	Line 3	
24	"CSF"	#3c3c3c	脑脊液	
25	"Left-Lesion"	#ffa500	Lesion	L
26	"Left-Accumbens-area"	#ffa500	伏隔核	L
27	"Left-Substancia-Nigra"	#00ff7f	黑质	L
28	"Left-VentralDC"	#a52a2a	腹侧丘脑	L
29	"Left-undetermined"	#87ceeb	undetermined	L
30	"Left-vessel"	#a020f0	vessel	L
31	"Left-choroid-plexus"	#00c8c8	choroid plexus	L
32	"Left-F3orb"	#643264	F3orb	L
33	"Left-lOg"	#87324a	lOg	L
34	"Left-aOg"	#7a8732	aOg	L
35	"Left-mOg"	#333287	mOg	L
36	"Left-pOg"	#4a9b3c	pOg	L
37	"Left-Stellate"	#783e2b	Stellate	L
38	"Left-Porg"	#4a9b3c	Porg	L
39	"Left-Aorg"	#7a8732	Aorg	L
40	"Right-Cerebral-Exterior"	#4682b4	大脑外部	R
41	"Right-Cerebral-White-Matter"	#f5f5f5	大脑白质	R
42	"Right-Cerebral-Cortex"	#cd3e4e	大脑皮层	R
43	"Right-Lateral-Ventricle"	#781286	侧脑室	R
44	"Right-Inf-Lat-Vent"	#c43afa	下外侧脑室	R
45	"Right-Cerebellum-Exterior"	#009400	小脑外部	R
46	"Right-Cerebellum-White-Matter"	#dcf8a4	小脑白质	R
47	"Right-Cerebellum-Cortex"	#e69422	小脑皮层	R
48	"Right-Thalamus-unused"	#00760e	丘脑	R
49	"Right-Thalamus"	#00760e	丘脑	R
50	"Right-Caudate"	#7abadc	尾状核	R
51	"Right-Putamen"	#ec0db0	壳核	R
52	"Right-Pallidum"	#0d30ff	苍白球	R
53	"Right-Hippocampus"	#dcd814	海马	R
54	"Right-Amygdala"	#67ffff	杏仁核	R
55	"Right-Insula"	#50c462	岛叶	R
56	"Right-Operculum"	#3c3ad2	岛盖	R
57	"Right-Lesion"	#ffa500	Lesion	R
58	"Right-Accumbens-area"	#ffa500	伏隔核	R
59	"Right-Substancia-Nigra"	#00ff7f	黑质	R
60	"Right-VentralDC"	#a52a2a	腹侧丘脑	R
61	"Right-undetermined"	#87ceeb	undetermined	R
62	"Right-vessel"	#a020f0	vessel	R
63	"Right-choroid-plexus"	#00c8dd	choroid plexus	R
64	"Right-F3orb"	#643264	F3orb	R
65	"Right-lOg"	#87324a	lOg	R
66	"Right-aOg"	#7a8732	aOg	R
67	"Right-mOg"	#333287	mOg	R
68	"Right-pOg"	#4a9b3c	pOg	R
69	"Right-Stellate"	#783e2b	Stellate	R
70	"Right-Porg"	#4a9b3c	Porg	R
71	"Right-Aorg"	#7a8732	Aorg	R
72	"5th-Ventricle"	#78be96	5th Ventricle	
73	"Left-Interior"	#7a8732	Interior	L
74	"Right-Interior"	#7a8732	Interior	R
77	"WM-hypointensities"	#c846ff	白质低密度区	
78	"Left-WM-hypointensities"	#ff940a	白质低密度区	L
79	"Right-WM-hypointensities"	#ff940a	白质低密度区	R
80	"non-WM-hypointensities"	#a46ce2	白质低密度区	
81	"Left-non-WM-hypointensities"	#a46ce2	白质低密度区	L
82	"Right-non-WM-hypointensities"	#a46ce2	白质低密度区	R
83	"Left-F1"	#ffdab9	F1	L
84	"Right-F1"	#ffdab9	F1	R
85	"Optic-Chiasm"	#eaa91e	视交叉	
192	"Corpus_Callosum"	#faff32	Corpus_Callosum	
86	"Left_future_WMSA"	#c878ff	Left_future_WMSA	
87	"Right_future_WMSA"	#c879ff	Right_future_WMSA	
88	"future_WMSA"	#c87aff	future_WMSA	
96	"Left-Amygdala-Anterior"	#cd0a7d	杏仁核	L
97	"Right-Amygdala-Anterior"	#cd0a7d	杏仁核	R
98	"Dura"	#a020f0	Dura	
100	"Left-wm-intensity-abnormality"	#7c8cb2	wm intensity abnormality	L
101	"Left-caudate-intensity-abnormality"	#7d8cb2	caudate intensity abnormality	L
102	"Left-putamen-intensity-abnormality"	#7e8cb2	putamen intensity abnormality	L
103	"Left-accumbens-intensity-abnormality"	#7f8cb2	accumbens intensity abnormality	L
104	"Left-pallidum-intensity-abnormality"	#7c8db2	pallidum intensity abnormality	L
105	"Left-amygdala-intensity-abnormality"	#7c8eb2	amygdala intensity abnormality	L
106	"Left-hippocampus-intensity-abnormality"	#7c8fb2	hippocampus intensity abnormality	L
107	"Left-thalamus-intensity-abnormality"	#7c90b2	thalamus intensity abnormality	L
108	"Left-VDC-intensity-abnormality"	#7c8cb3	丘脑	L
109	"Right-wm-intensity-abnormality"	#7c8cb2	wm intensity abnormality	R
